censura,sexo,idade,cr,rep_ga,rep_calc,rep_prob,tempo,instmae,seg_grau,cotas,renda,statusc,sexo1
0.0,M,19.0,2.9,1.0,1.0,8.0,5.0,1.0,0.0,0,1.0,2,1
0.0,M,22.0,1.0,1.0,8.0,8.0,4.0,2.0,1.0,1,3.0,2,1
0.0,M,24.0,1.5,0.0,2.0,2.0,8.0,2.0,1.0,1,4.0,2,1
1.0,F,19.0,6.6,0.0,3.0,0.0,12.0,0.0,0.0,0,1.0,1,0
1.0,F,24.0,4.8,1.0,1.0,1.0,13.0,2.0,1.0,1,3.0,1,0
1.0,F,19.0,5.4,1.0,1.0,0.0,11.0,3.0,1.0,1,2.0,1,0
1.0,F,28.0,6.3,1.0,1.0,3.0,4.0,0.0,1.0,1,3.0,1,0
0.0,F,20.0,3.5,1.0,2.0,8.0,5.0,2.0,0.0,0,2.0,2,0
1.0,M,20.0,6.0,0.0,0.0,0.0,13.0,2.0,1.0,1,1.0,1,1
0.0,M,19.0,3.3,1.0,3.0,8.0,6.0,0.0,0.0,0,1.0,2,1
1.0,F,18.0,8.2,0.0,0.0,0.0,8.0,2.0,1.0,1,2.0,1,0
1.0,M,26.0,5.7,0.0,1.0,1.0,13.0,2.0,0.0,0,1.0,1,1
3.0,F,23.0,3.2,9.0,9.0,9.0,2.0,2.0,0.0,1,1.0,3,0
0.0,M,25.0,0.2,3.0,8.0,8.0,4.0,2.0,0.0,0,1.0,2,1
0.0,F,19.0,4.7,0.0,0.0,0.0,12.0,2.0,1.0,1,1.0,2,0
0.0,F,18.0,4.0,1.0,0.0,8.0,6.0,2.0,1.0,1,3.0,2,0
0.0,M,41.0,0.2,3.0,3.0,8.0,12.0,0.0,0.0,1,4.0,2,1
0.0,F,19.0,1.2,2.0,1.0,8.0,4.0,1.0,1.0,1,3.0,2,0
0.0,M,35.0,2.3,9.0,9.0,9.0,5.0,0.0,0.0,0,1.0,2,1
0.0,M,19.0,0.4,1.0,8.0,8.0,6.0,3.0,1.0,1,4.0,2,1
0.0,M,21.0,0.4,2.0,8.0,8.0,3.0,3.0,1.0,1,3.0,2,1
4.0,M,24.0,0.5,9.0,2.0,8.0,6.0,1.0,0.0,1,2.0,3,1
0.0,F,29.0,4.9,1.0,0.0,1.0,12.0,2.0,0.0,1,4.0,2,0
1.0,F,19.0,6.8,0.0,0.0,0.0,10.0,3.0,1.0,1,3.0,1,0
1.0,F,19.0,7.1,0.0,0.0,0.0,8.0,2.0,1.0,1,2.0,1,0
0.0,M,33.0,0.0,9.0,9.0,9.0,5.0,2.0,1.0,1,1.0,2,1
0.0,M,28.0,2.2,2.0,8.0,8.0,6.0,2.0,1.0,1,2.0,2,1
0.0,F,29.0,0.0,1.0,1.0,8.0,6.0,2.0,1.0,1,2.0,2,0
0.0,M,19.0,8.0,0.0,0.0,8.0,6.0,2.0,0.0,1,2.0,2,1
0.0,M,31.0,0.8,9.0,1.0,2.0,6.0,1.0,0.0,1,4.0,2,1
0.0,F,20.0,4.1,0.0,0.0,0.0,12.0,3.0,1.0,1,1.0,2,0
0.0,M,19.0,0.9,2.0,2.0,8.0,4.0,2.0,0.0,1,5.0,2,1
4.0,M,29.0,2.6,9.0,9.0,9.0,4.0,2.0,0.0,0,4.0,3,1
0.0,F,18.0,1.3,3.0,3.0,8.0,4.0,1.0,0.0,0,1.0,2,0
1.0,F,25.0,5.2,1.0,3.0,0.0,12.0,0.0,0.0,0,1.0,1,0
0.0,M,25.0,0.0,2.0,2.0,8.0,4.0,3.0,1.0,1,4.0,2,1
4.0,M,30.0,0.0,1.0,1.0,8.0,2.0,2.0,0.0,0,3.0,3,1
